"**ałłaagani** last year
    **Diomede Wordlist** 

",,,,,,,,,,,,,,,,,,,,,,,,
"**ałłaagun** next year
    **Diomede Wordlist** 

",ałłaagani,last year,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**ałłagiaŋa-** to be different than expected
    **Diomede Wordlist** 

",ałłaagun,next year,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġaqaraun** flashlight
    **Diomede Wordlist** 

",ałłagiaŋa-,to be different than expected,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋayuġaaq-** to grow old (of a man)
    **Diomede Wordlist** 

",aġaqaraun,flashlight,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋayuġaksraq** old man
    **Diomede Wordlist** 

",aŋayuġaaq-,to grow old (of a man),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋayuliq** oldest child
    **Diomede Wordlist** 

",aŋayuġaksraq,old man,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋayułiq** first born, oldest child
    **Diomede Wordlist** 

",aŋayuliq,oldest child,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋeq-** say 'yes'
    **Aŋeqtuq.** She says 'yes'.
    **Aŋeġaa.** He says yes to him.
    **Diomede Wordlist** 

",aŋayułiq,"first born, oldest child",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġġi-** dance, hold a dance
    **Aġġerut.** They(3+) dance.
    **Diomede Wordlist** 

",aŋeq-,say 'yes',Aŋeqtuq.,She says 'yes'.,Aŋeġaa.,He says yes to him.,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋi-** be revived, resurrected, come back to life
    **Aŋeruq.** S
    **Diomede Wordlist** 

",aġġi-,"dance, hold a dance",Aġġerut.,They(3+) dance.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġi-** to kick (a ball)
    **Diomede Wordlist** 

",aŋi-,"be revived, resurrected, come back to life",Aŋeruq.,S,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġiaġuq** stomach
    **Diomede Wordlist** 

",aġi-,to kick (a ball),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋma-** to be open
    **Aŋmaruq.** It is open. 
    **Diomede Wordlist** 

",aġiaġuq,stomach,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġnaġaat, aġnagatet** maternaal parallel cousins
    **Diomede Wordlist** 

",aŋma-,to be open,Aŋmaruq.,It is open. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġnaġauq-?** to grow old (of a woman)
    **Diomede Wordlist** 

","aġnaġaat, aġnagatet",maternaal parallel cousins,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġnaġuksraq** old woman
    **Diomede Wordlist** 

",aġnaġauq-?,to grow old (of a woman),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġnaq** woman, female animal or human; mother
    **aġnaat** their mother'
    **Diomede Wordlist** 

",aġnaġuksraq,old woman,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġnauraq** girl
    **Diomede Wordlist** 

",aġnaq,"woman, female animal or human; mother",aġnaat,their mother',,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġneliruaq** whale which is floating after spouting
    **Diomede Wordlist** 

",aġnauraq,girl,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġuġuaq-** to break, collide on the sea (of waves)
    **Diomede Wordlist** 

",aġneliruaq,whale which is floating after spouting,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aġui-** to walk
    **Diomede Wordlist** 

",aġuġuaq-,"to break, collide on the sea (of waves)",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋun** young man
    **Diomede Wordlist** 

",aġui-,to walk,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
"**aŋuniaq-** to hunt
